subject_id,gender,age,counterbalance,fine motor,gross motor,total,toy_1,toy_1_confounding,toy_1_competence,toy_1_help,toy_1_time,toy_2,toy_2_confounding,toy_2_competence,toy_2_help,toy_2_time,pair_1_first_pick,pair_1_first_pick_confounding,toy_1_time_pair_1,toy_2_time_pair_1,toy_3,toy_3_confounding,toy_3_competence,toy_3_help,toy_3_time,toy_4,toy_4_confounding,toy_4_competence,toy_4_help,toy_4_time,pair_2_first_pick,pair_2_first_pick_confounding,toy_1_time_pair_2,toy_2_time_pair_2,toy_5,toy_5_confounding,toy_5_competence,toy_5_help,toy_5_time,toy_6,toy_6_confounding,toy_6_competence,toy_6_help,toy_6_time,pair_3_first_pick,pair_3_first_pick_confounding,toy_1_time_pair_3,toy_2_time_pair_3
42,M,24,SZ DI PL,6,4,10,S,C,3,0,104,Z,U,1,0,0,S,C,14,0,D,U,3,0,26,I,C,3,0,53,D,U,3,0,P,C,3,0,40,L,U,1,1,30,P,C,37,0
43,F,31,SZ DI PL,7,7,14,S,C,3,0,101,Z,U,1,0,9,Z,U,5,174,D,U,3,0,21,I,C,3,0,38,D,U,40,0,P,C,3,0,19,L,U,3,0,26,P,C,15,0
44,M,34,SZ DI PL,7,7,14,S,C,3,0,110,Z,U,3,0,7,Z,U,9,27,D,U,3,0,79,I,C,3,0,58,D,U,44,126,P,C,3,0,29,L,U,3,0,30,P,C,44,8
45,M,31,SZ DI PL,6,7,13,S,C,3,0,77,Z,U,3,0,7,S,C,18,0,D,U,2,1,43,I,C,3,0,52,I,C,9,26,P,C,3,0,46,L,U,2,1,37,L,U,5,56
46,M,25,SZ DI PL,N/A,4,4,S,U,2,0,70,Z,C,3,0,28,Z,C,18,10,D,C,3,0,14,I,U,1,0,54,D,C,100,0,P,U,3,0,42,L,C,3,0,13,P,U,5,27
47,F,24,SZ DI PL,4,3,7,S,U,1,0,55,Z,C,3,0,35,Z,C,2,0,D,C,3,0,17,I,U,1,1,32,D,C,0,0,P,U,2,0,29,L,C,3,0,14,L,C,0,0
48,F,34,SZ DI PL,7,7,14,S,U,3,0,22,Z,C,3,0,5,S,U,127,0,D,C,3,0,11,I,U,3,0,65,D,C,114,0,P,U,3,0,30,L,C,3,0,6,L,C,20,35
49,M,25,SZ DI PL,3,3,6,S,U,2,0,33,Z,C,3,0,6,Z,C,14,12,D,C,3,0,12,I,U,1,0,54,D,C,43,14,P,U,2,0,39,L,C,3,0,20,P,U,23,0
50,F,26,SZ DI PL,5,6,11,S,U,2,0,25,Z,C,3,0,15,Z,C,68,0,D,C,3,0,11,I,U,1,0,44,D,C,120,0,P,U,3,0,26,L,C,3,0,12,L,C,29,0
51,F,31,DI PL SZ,7,7,14,D,C,3,0,7,I,U,2,0,39,D,C,63,0,P,U,3,0,21,L,C,3,0,9,L,C,29,0,S,C,3,0,103,Z,U,3,0,28,Z,U,8,61
52,M,35,DI SZ PL,7,6,13,D,C,3,0,20,I,U,3,0,23,I,U,55,0,S,U,3,0,29,Z,C,3,0,8,S,U,34,9,P,U,3,0,19,L,C,3,0,11,L,C,14,18
53,F,25,DI SZ PL,6,4,10,D,U,2,0,38,I,C,3,0,105,D,U,41,0,S,C,3,0,66,Z,U,2,0,20,S,C,15,13,P,U,3,0,23,L,C,3,0,8,P,U,36,42
54,F,27,PL DI SZ,N/A,4,4,P,C,3,0,22,L,U,1,1,26,P,C,0,14,D,U,1,1,3,I,C,3,0,45,I,C,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,F,29,DI SZ PL,7,7,14,D,C,3,0,38,I,U,3,0,127,D,C,67,113,S,U,2,0,133,Z,C,3,0,17,S,U,114,10,P,U,3,0,19,L,C,3,0,31,L,C,28,22
